,classify,feature,1-open,1-high,1-low,1-close,1-volume,1-adj close,2-open,2-high,2-low,2-close,2-volume,2-adj close,3-open,3-high,3-low,3-close,3-volume,3-adj close
157,-1,-1.2791599639569273,60.80,60.95,60.65,60.65,12620330,60.65,60.80,61.15,60.80,60.80,19104855,60.80,60.25,60.60,60.20,60.60,28836222,60.55
158,-1,0.11674415133752503,60.80,61.15,60.80,60.80,19104855,60.80,60.25,60.60,60.20,60.60,28836222,60.55,60.05,60.15,59.90,60.10,17186901,60.10
159,1,0.308960536639036,60.25,60.60,60.20,60.60,28836222,60.55,60.05,60.15,59.90,60.10,17186901,60.10,59.85,60.10,59.80,59.90,20164890,59.90
160,1,0.34994465869610686,60.05,60.15,59.90,60.10,17186901,60.10,59.85,60.10,59.80,59.90,20164890,59.90,59.50,59.85,59.45,59.80,11258157,59.80
161,1,0.5117275084797992,59.85,60.10,59.80,59.90,20164890,59.90,59.50,59.85,59.45,59.80,11258157,59.80,59.45,59.70,59.35,59.70,9980170,59.65
162,1,0.5751211633375866,59.50,59.85,59.45,59.80,11258157,59.80,59.45,59.70,59.35,59.70,9980170,59.65,58.50,59.15,58.50,59.15,4915027,59.10
163,1,-0.11929349618887211,59.45,59.70,59.35,59.70,9980170,59.65,58.50,59.15,58.50,59.15,4915027,59.10,58.45,58.65,58.25,58.65,11346270,58.60
164,1,0.16553116449963404,58.50,59.15,58.50,59.15,4915027,59.10,58.45,58.65,58.25,58.65,11346270,58.60,58.65,58.65,58.40,58.50,4142984,58.50
165,1,-0.6298379876779002,58.45,58.65,58.25,58.65,11346270,58.60,58.65,58.65,58.40,58.50,4142984,58.50,58.70,58.70,58.30,58.50,18482909,58.45
166,1,-1.392455604633662,58.65,58.65,58.40,58.50,4142984,58.50,58.70,58.70,58.30,58.50,18482909,58.45,59.40,59.45,58.95,59.25,9855394,59.20
167,1,0.18220797683174206,58.70,58.70,58.30,58.50,18482909,58.45,59.40,59.45,58.95,59.25,9855394,59.20,59.40,59.50,59.20,59.40,14863279,59.40
168,-1,0.09270619169728944,59.40,59.45,58.95,59.25,9855394,59.20,59.40,59.50,59.20,59.40,14863279,59.40,59.15,59.20,58.90,59.05,8983182,59.05
169,-1,0.09847252424452727,59.40,59.50,59.20,59.40,14863279,59.40,59.15,59.20,58.90,59.05,8983182,59.05,59.15,59.30,59.10,59.15,13449615,59.15
170,1,-1.8702380474439362,59.15,59.20,58.90,59.05,8983182,59.05,59.15,59.30,59.10,59.15,13449615,59.15,59.25,59.80,59.25,59.75,25692825,59.70
171,-1,0.8064110308832796,59.15,59.30,59.10,59.15,13449615,59.15,59.25,59.80,59.25,59.75,25692825,59.70,58.85,59.00,58.75,58.80,2671739,58.80
172,-1,0.8125024035330296,59.25,59.80,59.25,59.75,25692825,59.70,58.85,59.00,58.75,58.80,2671739,58.80,59.25,59.45,59.15,59.35,4967719,59.30
173,1,-1.9751897489783854,58.85,59.00,58.75,58.80,2671739,58.80,59.25,59.45,59.15,59.35,4967719,59.30,59.30,59.40,58.95,59.05,7930817,59.00
174,-1,-5.124350119908578,59.25,59.45,59.15,59.35,4967719,59.30,59.30,59.40,58.95,59.05,7930817,59.00,59.30,59.80,59.30,59.40,30394804,59.40
175,1,-2.303560769648059,59.30,59.40,58.95,59.05,7930817,59.00,59.30,59.80,59.30,59.40,30394804,59.40,58.35,59.20,58.35,59.15,26226639,59.15
176,-1,0.7955095326298112,59.30,59.80,59.30,59.40,30394804,59.40,58.35,59.20,58.35,59.15,26226639,59.15,58.20,58.45,58.20,58.30,6901618,58.30
177,1,0.784415191775462,58.35,59.20,58.35,59.15,26226639,59.15,58.20,58.45,58.20,58.30,6901618,58.30,57.90,58.00,57.70,57.70,6185686,57.70
178,1,-0.15704923265088405,58.20,58.45,58.20,58.30,6901618,58.30,57.90,58.00,57.70,57.70,6185686,57.70,57.80,58.15,57.50,57.95,8020935,57.90
179,1,0.3978921026092643,57.90,58.00,57.70,57.70,6185686,57.70,57.80,58.15,57.50,57.95,8020935,57.90,58.30,58.45,58.30,58.30,3676458,58.30
180,-1,-0.12230411277226658,57.80,58.15,57.50,57.95,8020935,57.90,58.30,58.45,58.30,58.30,3676458,58.30,58.00,58.50,57.95,58.40,8953651,58.35
181,-1,-1.341768397958365,58.30,58.45,58.30,58.30,3676458,58.30,58.00,58.50,57.95,58.40,8953651,58.35,58.25,58.25,57.95,58.15,8621993,58.15
182,-1,0.1779431310380975,58.00,58.50,57.95,58.40,8953651,58.35,58.25,58.25,57.95,58.15,8621993,58.15,58.40,58.45,57.80,57.90,7368063,57.90
183,1,-1.0119514605778572,58.25,58.25,57.95,58.15,8621993,58.15,58.40,58.45,57.80,57.90,7368063,57.90,58.40,58.45,58.20,58.20,17317428,58.20
184,1,-0.8575992069364302,58.40,58.45,57.80,57.90,7368063,57.90,58.40,58.45,58.20,58.20,17317428,58.20,58.05,58.05,57.60,57.65,13737331,57.65
185,-1,0.23241380935736672,58.40,58.45,58.20,58.20,17317428,58.20,58.05,58.05,57.60,57.65,13737331,57.65,58.10,58.20,58.05,58.15,13366688,58.15
186,1,0.04549503445134693,58.05,58.05,57.60,57.65,13737331,57.65,58.10,58.20,58.05,58.15,13366688,58.15,57.95,58.15,57.80,58.15,13088686,58.15
187,-1,-0.1555923508452286,58.10,58.20,58.05,58.15,13366688,58.15,57.95,58.15,57.80,58.15,13088686,58.15,58.10,58.25,57.95,57.95,15434959,57.95
